Address,Longitude,Type,Latitude,Time
Nb I5 At Ship Canal Bridge,-122.322393,Car Fire Freeway,47.647664,12:09:00 AM
Ne 130th St / Lake City Way Ne,-122.293194,Trans to AMR,47.722899,12:10:00 AM
1959 Ne Pacific St,-122.308014,1RED 1 Unit,47.650743,12:19:00 AM
Queen Anne Av N / Mercer St,-122.356709,Aid Response,47.624583,12:26:00 AM
E Thomas St / Bellevue Av E,-122.326579,Medic Response,47.620831,12:27:00 AM
1101 Ne Campus Pkwy,-122.316772,Aid Response,47.656024,12:28:00 AM
6025 30th Av S,-122.293658,Medic Response,47.547885,12:29:00 AM
2143 S Pearl St,-122.30476,Medic Response,47.556136,12:31:00 AM
Ne 125th St / 35th Av Ne,-122.290784,1RED 1 Unit,47.719253,12:37:00 AM
14357 Bagley Av N,-122.332995,Medic Response,47.732812,12:51:00 AM
7049 16th Av Sw,-122.354983,Aid Response,47.53958,12:53:00 AM
7109 44th Av S,-122.278061,Medic Response,47.538809,01:17:00 AM
1930 Boren Av,-122.333103,Aid Response,47.617173,01:18:00 AM
2208 15th Av W,-122.376149,Medic Response,47.638695,01:20:00 AM
4544 7th Av Ne,-122.320724,Aid Response,47.662004,01:33:00 AM
1115 Nw Market St,-122.370893,Aid Response,47.668662,01:41:00 AM
2332 47th Av Sw,-122.391854,Aid Response,47.582812,01:49:00 AM
8014 13th Av Nw,-122.372756,Rubbish Fire,47.686979,01:58:00 AM
318 2nd Av Et  S,-122.330541,Aid Response,47.600194,01:59:00 AM
805 Madison St,-122.328414,Aid Response,47.607969,02:10:00 AM
171 Lake Washington Blvd E,-122.2816,Fire in Single Family Res,47.619299,02:26:00 AM
120 Nw 39th St,-122.357873,Auto Fire Alarm,47.65415,02:43:00 AM
3200 3rd Av W,-122.360887,Auto Fire Alarm,47.648663,02:44:00 AM
2501 15th Av W,-122.37616,Auto Fire Alarm,47.640701,02:45:00 AM
3624 Phinney Av N,-122.354474,Auto Fire Alarm,47.652393,02:46:00 AM
3919 18th Av W,-122.379982,1RED 1 Unit,47.655244,02:47:00 AM
2245 Nw 57th St,-122.385375,1RED 1 Unit,47.670184,02:47:00 AM
2445 Nw 57th St,-122.388155,Trans to AMR,47.670187,02:54:00 AM
2024 Nw 57th St,-122.382437,Activated CO Detector,47.67018,02:57:00 AM
810 Virginia St,-122.336507,Trans to AMR,47.615789,02:57:00 AM
100 Crockett St,-122.355598,Trans to AMR,47.637416,03:01:00 AM
2419 Nw 58th St,-122.387819,Automatic Fire Alarm False,47.670916,03:09:00 AM
747 N 135th St,-122.348012,Medic Response,47.726864,03:11:00 AM
1770 Nw 58th St,-122.379633,Automatic Fire Alarm False,47.670905,03:14:00 AM
509 3rd Av,-122.330809,Aid Response,47.602114,03:15:00 AM
6516 17th Av Nw,-122.378883,Activated CO Detector,47.676124,03:23:00 AM
2445 Nw 57th St,-122.388155,Automatic Fire Alarm False,47.670187,03:24:00 AM
118 Bell St,-122.346355,Medic Response,47.613497,03:26:00 AM
1434 Nw 60th St,-122.374466,Automatic Fire Alarm False,47.672359,03:27:00 AM
1538 Nw 51st St,-122.376718,Automatic Fire Alarm False,47.665706,03:41:00 AM
1220 N 45th St,-122.342978,Automatic Fire Alarm False,47.661385,03:44:00 AM
1545 Nw 57th St,-122.376806,Automatic Fire Alarm False,47.670172,03:45:00 AM
5710 26th Av Nw,-122.390143,Automatic Fire Alarm False,47.670256,03:55:00 AM
11050 8th Av Ne,-122.320569,Aid Response,47.708935,03:56:00 AM
857 S Donovan St,-122.322172,Aid Response,47.525613,04:07:00 AM
11030 5th Av Ne,-122.323301,Aid Response,47.709488,04:10:00 AM
3204 Sw Morgan St,-122.373777,Medic Response,47.544669,04:22:00 AM
465 N 45th St,-122.352701,Auto Fire Alarm,47.661398,04:44:00 AM
5814 22nd Av Nw,-122.384743,Automatic Fire Alarm False,47.671009,04:48:00 AM
6610 62nd Av Ne,-122.261465,Aid Response,47.676577,04:52:00 AM
800 N 36th St,-122.3486,Automatic Fire Alarm False,47.651148,04:57:00 AM
4803 S Henderson St,-122.272812,Aid Response,47.52331,04:58:00 AM
204 Warren Av N,-122.354138,Aid Response,47.6198,05:03:00 AM
1401 Broadway,-122.320762,Aid Response,47.612963,05:12:00 AM
1505 E Galer St,-122.31244,Aid Response,47.632334,05:21:00 AM
1420 NW 80TH ST,-122.374634,Dumpster Fire,47.686889,05:22:00 AM
9440 27th Av Sw,-122.367275,Trans to AMR,47.518457,05:27:00 AM
645 Elliott Av W,-122.366703,Natural Gas Odor,47.625355,05:27:00 AM
3005 Rainier Av S,-122.297004,Aid Response,47.576848,05:31:00 AM
620 N 130th St,-122.351366,Aid Response Yellow,47.723223,05:37:00 AM
517 3rd Av,-122.330863,Medic Response,47.602172,05:39:00 AM
1770 Nw 58th St,-122.379633,Automatic Fire Alarm False,47.670905,05:40:00 AM
2208 15th Av W,-122.376149,Trans to AMR,47.638695,05:49:00 AM
1537 11th Av W,-122.371704,Automatic Medical Alarm,47.632757,07:13:00 AM
3500 S Holden St,-122.288154,Medic Response,47.533741,07:19:00 AM
3613 4th Av S,-122.329062,Aid Response,47.570724,07:19:00 AM
9001 Lake City Way Ne,-122.30552,Aid Response,47.693931,07:32:00 AM
2027 19th Av S,-122.308153,Automatic Fire Alarm Resd,47.585241,07:56:00 AM
Western Av / Union St,-122.340216,Aid Response,47.607364,08:00:00 AM
8125 13th Av Sw,-122.351704,Aid Response,47.529983,08:03:00 AM
8709 23rd Av Nw,-122.385044,Aid Response,47.691614,08:10:00 AM
10525 3rd Av Nw,-122.360768,Auto Fire Alarm,47.705341,08:17:00 AM
1700 Airport Way S,-122.321391,Aid Response,47.588225,08:21:00 AM
10324 44th Av Ne,-122.281399,Aid Response,47.702623,08:32:00 AM
509 3rd Av,-122.330809,Aid Response,47.602114,08:33:00 AM
9510 8th Av Ne,-122.320335,Unk Odor,47.697756,08:34:00 AM
6230 Beacon Av S,-122.300443,Aid Response,47.546731,08:46:00 AM
222 Pike St,-122.338655,Aid Response,47.609389,08:48:00 AM
4th Av S / Edgar Martinez Dr S,-122.32905,Aid Response,47.590311,08:55:00 AM
2041 Nw 57th St,-122.382661,Auto Fire Alarm,47.670181,08:56:00 AM
6109 32nd Av Nw,-122.398372,Medic Response- 7 per Rule,47.673454,09:01:00 AM
